Location,Freedom
East,Too much
West,Right
North,Low
South,Too low
East,Right
West,Low
North,Right
South,Low
East,Too low
West,Right
North,Low
South,Too low
East,Too much
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too low
South,Too much
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Low
East,Low
West,Too much
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too much
West,Too low
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too low
West,Too much
North,Low
South,Low
East,Too much
West,Too much
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too low
North,Too low
South,Too much
East,Too low
West,Too much
North,Low
South,Low
East,Too much
West,Too much
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Too much
East,Too low
West,Too much
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too much
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Too low
East,Too much
West,Low
North,Low
South,Too much
East,Too much
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too low
South,Too much
East,Too much
West,Too much
North,Too much
South,Low
East,Too low
West,Too much
North,Too much
South,Too much
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Too much
East,Too much
West,Too much
North,Low
South,Too low
East,Too much
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too much
West,Too low
North,Too much
South,Too much
East,Low
West,Too low
North,Too much
South,Low
East,Too low
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too much
South,Too much
East,Too much
West,Too much
North,Low
South,Too low
East,Too much
West,Too much
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too low
West,Too much
North,Too much
South,Too much
East,Too much
West,Low
North,Too low
South,Too much
East,Low
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too low
West,Too much
North,Low
South,Low
East,Too much
West,Too much
North,Too much
South,Too much
East,Too much
West,Low
North,Too low
South,Too much
East,Low
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too low
West,Too much
North,Low
South,Low
East,Too much
West,Too much
North,Too much
South,Too low
East,Too much
West,Low
North,Low
South,Too low
East,Too much
West,Right
North,Low
South,Too much
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Low
East,Too low
West,Too much
North,Right
South,Low
East,Too much
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too low
South,Too much
East,Low
West,Low
North,Too much
South,Too much
East,Too much
West,Too much
North,Too much
South,Low
East,Too much
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too low
South,Too much
East,Low
West,Low
North,Too much
South,Too much
East,Too much
West,Too low
North,Too much
South,Low
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too much
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Too low
East,Right
West,Low
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too low
West,Too much
North,Low
South,Too low
East,Too much
West,Right
North,Low
South,Too much
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Low
East,Low
West,Too much
North,Too much
South,Low
East,Low
West,Too much
North,Too much
South,Too much
East,Too much
West,Too much
North,Low
South,Too much
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Low
East,Low
West,Too much
North,Too much
South,Low
East,Too low
West,Too much
North,Right
South,Low
East,Too much
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too low
South,Too much
East,Low
West,Low
North,Too much
South,Low
East,Too low
West,Too much
North,Low
South,Too low
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too much
North,Too much
South,Too much
East,Too much
West,Low
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Too low
East,Too much
West,Low
North,Low
South,Too much
East,Low
West,Too low
North,Too much
South,Low
East,Too low
West,Too much
North,Right
South,Low
East,Too low
West,Too much
North,Too much
South,Too low
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too much
North,Low
South,Low
East,Too much
West,Low
North,Too low
South,Too much
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Too much
East,Too much
West,Too much
North,Too much
South,Low
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Low
East,Low
West,Too much
North,Too much
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Right
West,Low
North,Too low
South,Too much
East,Too low
West,Too much
North,Low
South,Low
East,Too much
West,Low
North,Too low
South,Too much
East,Low
West,Too low
North,Too much
South,Right
East,Low
West,Too low
North,Too much
South,Too much
East,Too much
West,Too much
North,Too much
South,Low
East,Too much
West,Right
North,Low
South,Too low
East,Too much
West,Too low
North,Too much
South,Low
